,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
850,849,BRONX-LEBANON HOSPITAL CENTER,43.299428,-74.217933,NY,PROFESSIONAL TRANSCRIPTION SERVICES,10930,9/23/2009,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2009-09-23,NA,2009
851,850,"Martin Luther King Jr. Health Center, Inc.",43.299428,-74.217933,NY,PROFESSIONAL TRANSCRIPTION SERVICES,37000,9/23/2009,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2009-09-23,NA,2009
28,27,Ashley and Gray DDS,37.964253,-91.831833,MO,,9309,1/10/2010,Theft,Desktop Computer,2014-01-23,,2010-01-10,NA,2010
30,29,The Methodist Hospital,31.968599,-99.901813,TX,,689,1/18/2010,Theft,Other,2014-01-23,"An unencrypted laptop computer was stolen from the covered entity's unlocked testing office.  The laptop computer contained the protected health information of approximately 689 individuals.  The protected health information involved in the breach included names, dates of birth, Social Security numbers, and the age, gender, race, and medication information of affected individuals.  Following the breach, the covered entity restricted the storage of electronic protected health information to network drives.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",2010-01-18,NA,2010
32,31,Carle Clinic Association,40.633125,-89.398528,IL,,1300,1/13/2010,Theft,"Other, Paper",2014-01-23,,2010-01-13,NA,2010
37,36,MMM Heath Care Inc. ,18.220833,-66.590149,PR,"MSO of Puerto Rico, Inc. ",1907,2/4/2010,Theft,Paper,2014-06-03,"The covered entity's (CE) business associate (BA) erroneously merged two lists which led to the disclosure of protected health information (PHI) of 1,907 individuals.  The PHI included names, internal identification numbers, and the number of emergency room visits.  Upon discovery of the breach, the CE's BA established a quality control process in order to ensure adequate safeguards for that letters that are sent by mail.  As a result of OCR's investigation, the CE created and implemented additional policies and procedures for quality control of mailings.  The CE also provided training to all staff on its revised privacy and security policies and procedures.





",2010-02-04,NA,2010
38,37,PMC Medicare Choice,18.220833,-66.590149,PR,MSO of Puerto Rico,605,2/4/2010,Theft,Paper,2014-06-03,"The covered entity's (CE) business associate (BA) erroneously merged two lists which led to the disclosure of protected health information (PHI) of 605 individuals.  The PHI included names, internal identification numbers, and the number of emergency room visits.  Upon discovery of the breach, the CE's BA established a quality control process in order to ensure adequate safeguards for that letters that are sent by mail.  As a result of OCR's investigation, the CE created and implemented additional policies and procedures for quality control of mailings.  The CE also provided training to all staff on its revised privacy and security policies and procedures.



",2010-02-04,NA,2010
41,40,Lucille Packard Children's Hospital,36.778261,-119.417932,CA,,532,1/11/2010,Other,Desktop Computer,2014-01-23,,2010-01-11,NA,2010
42,41,University of New Mexico Health Sciences Center,34.97273,-105.032363,NM,,1900,2/8/2010,Other,Desktop Computer,2014-01-23,,2010-02-08,NA,2010
45,44,Shands at UF,27.664827,-81.515754,FL,,12580,1/27/2010,Theft,Laptop,2014-01-23,"A laptop containing certain information collected on approximately 12,580 individuals referred to Shands at UF GI Clinical Services was stolen from the private residence of an employee.  The stolen information included patient names, social security numbers, and medical record numbers.  As a result of the incident, the employee was counseled by her supervisor, issued written corrective action with a 3-day suspension, and provided additional HIPAA training.  OCR reviewed Shands at UF's most recent Risk Analysis and Risk Management Plans and they revealed no high risk findings related to encryption, workstation use, or physical security.  OCR's investigation found that Shands at UF has implemented appropriate technical safeguards, such as secure VPN network connections and network storage for workforce usage, encrypted USB portable flash drives, and PGP whole disk encryption.  

",2010-01-27,NA,2010
47,46,Thrivent Financial for Lutherans,43.78444,-88.787868,WI,,9500,1/29/2010,Theft,Laptop,2014-01-23,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",2010-01-29,NA,2010
48,47,North Carolina Baptist Hospital,35.759573,-79.0193,NC,,554,2/15/2010,Theft,Paper,2014-01-23,,2010-02-15,NA,2010
49,48,Montefiore Medical Center,43.299428,-74.217933,NY,,625,2/20/2010,Theft,Laptop,2014-06-03,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",2010-02-20,NA,2010
50,49,"Ernest T. Bice, Jr. DDS, P.A.",31.968599,-99.901813,TX,,21000,2/20/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",2010-02-20,NA,2010
51,50,Lee Memorial Health System,27.664827,-81.515754,FL,,3800,1/29/2010,Other,Paper,2014-01-23,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,'  with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.

",2010-01-29,NA,2010
52,51,"Laboratory Corporation of America/Dynacare Northwest, Inc.",47.751074,-120.740139,WA,,5080,2/12/2010,Theft,Laptop,2014-01-23,"A laptop computer was stolen from a workforce member's car.  The laptop computer contained the protected health information of approximately 5080 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, Social Security numbers, and lab results.  Following the breach, the covered entity encrypted all laptop computers.  

",2010-02-12,NA,2010
53,52,Mount Sinai Medical Center,27.664827,-81.515754,FL,,2600,3/9/2010,Theft,Laptop,2014-01-23,,2010-03-09,NA,2010
54,53,Griffin Hospital,41.603221,-73.087749,CT,,957,2/4/2010,Hacking/IT Incident,Network Server,2014-01-23,,2010-02-04,NA,2010
55,54,"Hypertension, Nephrology, Dialysis and Transplantation, PC",32.318231,-86.902298,AL,,2465,3/6/2010,Theft,Laptop,2014-01-23,,2010-03-06,NA,2010
56,55,Reliant Rehabilitation Hospital North Houston,31.968599,-99.901813,TX,"Computer Program and Systems, Inc. (CPSI)",768,2/9/2010,Unauthorized Access/Disclosure ,E-mail,2014-01-23,,2010-02-09,NA,2010
57,56,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",34.048928,-111.093731,AZ,,2773,2/18/2010,Theft,Other Portable Electronic Device,2014-01-23,,2010-02-18,NA,2010
